Date,FSI_Raw,FSI,News
2022-03-01,0.3100504624795035,0.35132511666242316,无特定事件
2022-04-01,0.45428774746674633,0.3575028745106826,无特定事件
2022-05-01,0.5180598320545872,0.3671362919633169,无特定事件
2022-06-01,0.5516563960268208,0.3782074982071271,无特定事件
2022-07-01,0.5175950134397724,0.38657074912108585,无特定事件
2022-08-01,0.616780375619634,0.40038332671099874,无特定事件
2022-09-01,0.5761619454809959,0.4109300438371986,无特定事件
2022-10-01,0.5824556184032345,0.42122157831116075,无特定事件
2022-11-01,0.5757382216512114,0.4304925769115638,无特定事件
2022-12-01,0.7606339980052371,0.4503010621771842,无特定事件
2023-01-01,0.6208165439993719,0.4605319910865155,无特定事件
2023-02-01,0.6450256882493145,0.47160161291628344,无特定事件
2023-03-01,0.6668812398840709,0.4833183905343507,无特定事件
2023-04-01,0.7410478825745398,0.49878216005676207,去杠杆化campaign加强，地方债积累。
2023-05-01,0.803163656828399,0.5170450498630603,无特定事件
2023-06-01,0.7962957154932611,0.5338000898008723,无特定事件
2023-07-01,0.8155241364536115,0.5507035326000367,无特定事件
2023-08-01,0.8521045780821495,0.5687875953289635,无特定事件
2023-09-01,0.8631306837363398,0.5864481806334061,无特定事件
2023-10-01,0.9171292756903383,0.606289046336822,房地产违约事件增多，通缩压力显现。
2023-11-01,0.9782622293159312,0.6286074373155686,无特定事件
2023-12-01,1.0545320591766592,0.6541629146272341,无特定事件
2024-01-01,1.1084450410328188,0.6814198422115691,地方债务高峰偿还期，经济放缓持续。
2024-02-01,1.1527103489699067,0.7096972726170694,无特定事件
2024-03-01,1.171122310520889,0.7373827748912986,无特定事件
2024-04-01,1.1850548776643348,0.7642431010576808,无特定事件
2024-05-01,1.2029568093431666,0.7905659235548099,无特定事件
2024-06-01,1.2382406296697663,0.8174264059217073,无特定事件
2024-07-01,1.2254429234798005,0.841907396975193,无特定事件
2024-08-01,1.2743482056554636,0.8678538454960093,无特定事件
2024-09-01,1.284964838492751,0.8928805050758138,无特定事件
2024-10-01,1.2895861458535496,0.916682843522478,无特定事件
2024-11-01,1.3190264762188335,0.9408234614842593,无特定事件
2024-12-01,1.3399275637240913,0.9647697076186493,无特定事件
2025-01-01,1.3642572701957325,0.9887389613732743,2025上半年股市小牛市启动，AI和未来产业驱动，成交活跃但大盘温和上涨。
2025-02-01,1.376116884031878,1.0119816367327905,无特定事件
2025-03-01,1.3531064949361518,1.0324491282249921,股市热点轮动，有色金属和数字货币板块暴涨，机构乐观。
2025-04-01,1.372420260430183,1.0528473961573035,无特定事件
2025-05-01,1.382680632125902,1.0726373903154194,无特定事件
2025-06-01,1.3801427705312768,1.091087713128371,慢牛市延续，基本面改善，但结构性压力仍存（如房产库存高企）。
